Topic,Count,Name,Representation,Representative_Docs
9,132,9_war_russia_world war_britain,"['war', 'russia', 'world war', 'britain', 'united states', 'british', 'mythology', 'government', 'nations', 'political']","[""The Glorious Revolution was glorious partly because it For fear that James II wished to return England to Catholicism, Parliament invited William III of Orange and his wife, Mary, to take England's throne. James II fled to France and his forces put up no resistance. The Glorious Revolution of 1688 came four decades after the English civil war. England began to take control of India in the eighteenth century, particularly as a result of the battle of Plassey (1757); and Napoleon was not a factor until the end of the eighteenth century. was bloodless eliminated Catholic political power in Germany led to a republic in England placed Britain in control of India led to the defeat of Napoleon"", '""We [are] determined to save succeeding generations from the scourge of war, which twice in our lifetime has brought untold sorrow to man kind . . ."" this statement comes from which of the following texts? The United Nations was formed at the end of the Second World War and was designed to accomplish what the earlier League of Nations had failed to accomplish: to prevent another world war. the ""Declaration of the Rights of Man and Citizen"" was the founding document of the French Revolution, and Burke\'s work was a critique of that revolution. Bossuet\'s book promoted the theory of ""divine right"". the U.S. Constitution is not explicitly interested in preventing future wars. Charter of the United Nations National Assembly\'s ""Declaration of the Rights of Man and Citizen"" U.S. Constitution Edmund Burke\'s Reflections on the Revolution in France Bishop bossuet\'s Politics Drawn from the Very Words of Holy Scripture', 'The phrase ""Caesar non est supra grammaticos"", translating roughly to ""Caesar/The Emperor is not above grammarians"", originated in an incident involving the Holy Roman Emperor at the in 1414 While not believed to be a direct quote from the word of the monks, we do have this source:\n\n""…A similar anecdote is told of the German Emperor Sigismund. When presiding at the Council of Constance, he addressed the assembly in a Latin speech, exhorting them to eradicate the schism of the Hussites. \'Videte Patres,\' he said, \'ut eradicetis schismam Hussitarum.\' He was very unceremoniously called to order by a monk, who called out \'Serenissime Rex, schisma est generis neutri.\' The emperor, however, without losing his presence of mind, asked the impertinent monk, \'How do you know it?\' The old Bohemian schoolmaster replied, \'Alexander Gallus says so.\' \'And who is Alexander Gallus?\' the emperor rejoined. The monk replied, \'He was a monk.\' \'Well,\' said the emperor, \'and I am emperor of Rome; and my word, I trust, will be as good as the word of any monk.\' No doubt the laughers were with the emperor; but for all that, schisma remained a neuter, and not even an emperor could change its gender or termination.""\n\n    Source: The Science of Language, Founded on Lectures Delivered at the Royal Institution in 1861 and 1863 by F. Max Müller, K.M., pp. 39–40. (1899)']"
10,125,10_atomic number lowest_following elements atomic_correct order atomic_order atomic,"['atomic number lowest', 'following elements atomic', 'correct order atomic', 'order atomic', 'order atomic number', 'elements atomic number', 'sort following', 'elements atomic', 'highest correct order', 'atomic number highest']","['Sort the following elements by atomic number (lowest to highest): The correct order by atomic number (lowest to highest) is:\nAl - Aluminium (Atomic #: 13)\nAc - Actinium (Atomic #: 89)\nCf - Californium (Atomic #: 98)\nCn - Copernicium (Atomic #: 112)\nUue - Ununennium (Atomic #: 119) Al - Aluminium Ac - Actinium Cf - Californium Cn - Copernicium Uue - Ununennium', 'Sort the following elements by atomic number (lowest to highest): The correct order by atomic number (lowest to highest) is:\nH - Hydrogen (Atomic #: 1)\nCr - Chromium (Atomic #: 24)\nZr - Zirconium (Atomic #: 40)\nAc - Actinium (Atomic #: 89)\nDs - Darmstadtium (Atomic #: 110) H - Hydrogen Cr - Chromium Zr - Zirconium Ac - Actinium Ds - Darmstadtium', 'Sort the following elements by atomic number (lowest to highest): The correct order by atomic number (lowest to highest) is:\nSc - Scandium (Atomic #: 21)\nMo - Molybdenum (Atomic #: 42)\nCe - Cerium (Atomic #: 58)\nPr - Praseodymium (Atomic #: 59)\nEs - Einsteinium (Atomic #: 99) Sc - Scandium Mo - Molybdenum Ce - Cerium Pr - Praseodymium Es - Einsteinium']"
11,102,11_times times_times_times1_times times times,"['times times', 'times', 'times1', 'times times times', 'times1 times1', 'times1 times1 times1', 'times 11', 'times 11 times', 'times times 24', '24 times times']","['What is the pH range of stomach acid?  to Stomach acid contains hydrochloric acid and has a very acidic pH ranging from 1.5 to 2, which is necessary for proper digestion and killing harmful bacteria.', 'What is the pH of hydrochloric acid?  Hydrochloric acid is a strong acid that completely dissociates in water, producing a high concentration of hydrogen ions and resulting in a very low pH of 1.', 'What is the pH range of acid rain?  to Acid rain forms when sulfur dioxide and nitrogen oxides react with water in the atmosphere, creating sulfuric and nitric acids that lower the pH to a range of 4 to 5.']"
12,97,12_quadrilateral_angles equal_rhombus_protractor,"['quadrilateral', 'angles equal', 'rhombus', 'protractor', 'triangle', 'parallel sides', 'straight line', 'equal angles', 'equilateral', 'right angles']","[""What is a chord? A chord is a line joining two points on the circumference of a circle. The other options describe different parts of a circle: a line from the center to the circumference is a radius, a line touching the circle at one point is a tangent, and a line passing through the center is a diameter (which is a special type of chord). Therefore, a chord is any straight line segment that connects two distinct points on the circle's boundary. A line from the center to the circumference A line joining two points on the circumference  A line touching the circle at one point A line passing through the center"", 'Which figure has all sides equal but not all angles equal? A rhombus is a quadrilateral with all four sides of equal length. However, its angles are not all equal; it has two pairs of equal angles. The opposite angles are equal, but adjacent angles are supplementary (they add up to 180 degrees).\n\nRectangle: Has all angles equal (90 degrees) but not necessarily all sides equal.\nSquare: Has all sides equal and all angles equal (90 degrees). A square is a special type of rhombus and a special type of rectangle.\nParallelogram: Has two pairs of equal sides and two pairs of equal angles, but neither all sides nor all angles are necessarily equal. Rectangle Rhombus Square Parallelogram', 'Which of the following is a property of a parallelogram? A parallelogram is a quadrilateral with two pairs of parallel sides. A fundamental property of parallelograms is that their opposite sides are equal in length. In addition to this, their opposite angles are also equal. The other options are properties of specific types of parallelograms, but not all of them. For example, a square or a rectangle has equal diagonals and all right angles, while a rhombus has all equal sides. A parallelogram in general only guarantees that its opposite sides are equal. Diagonals are equal Opposite sides are equal  All angles are right angles All sides are equal']"
13,87,13_times19_times20_times20 times20_times17 times17,"['times19', 'times20', 'times20 times20', 'times17 times17', 'times19 times19', 'times1', 'times17 17', 'times17 17 times17', 'times19 19 times19', 'times18 18 times18']","['$1\\times18 =$ $1\\times18 =18$', '$1\\times17 =$ $1\\times17 =17$', '$1\\times19 =$ $1\\times19 =19$']"
14,82,14_diameter_radius_area circle_image circle,"['diameter', 'radius', 'area circle', 'image circle', 'answer image', 'right triangle', 'text diameter', 'circumference', 'rectangle', 'length square']","['Find the length of the radius of a circle inscribed in a square that has a diagonal of $10\\sqrt{2}$. Notice that the diagonal of the square is also the hypotenuse of a right isosceles triangle whose legs are also the sides of the square. You should also notice that the diameter of the circle has the same length as that of a side of the square.\n\nIn order to find the radius of the circle, we need to first use the Pythagorean theorem to find the length of the side of the square.\n\n$\n\\text{Diagonal}^2 = \\text{side}^2 + \\text{side}^2\n$\n\n$\n2(\\text{side})^2 = \\text{Diagonal}^2\n$\n\n$\n\\text{side}^2 = \\frac{\\text{Diagonal}^2}{2}\n$\n\n$\n\\text{side} = \\sqrt{\\frac{\\text{Diagonal}^2}{2}} = \\frac{\\text{Diagonal}\\sqrt{2}}{2}\n$\n\nNow, substitute in the value of the diagonal to find the length of a side of the square.\n\n$\n\\text{side} = \\frac{10\\sqrt{2}(\\sqrt{2})}{2}\n$\n\nSimplify.\n\n$\n\\text{side} = 10\n$\n\nNow keep in mind the following relationship between the diameter and the side of the square:\n\n$\n\\text{Diameter} = \\text{side} = 10\n$\n\nRecall the relationship between the diameter and the radius.\n\n$\n\\text{Radius} = \\frac{1}{2}(\\text{Diameter})\n$\n\nSubstitute in the value of the radius by plugging in the value of the diameter.\n\n$\n\\text{Radius} = \\frac{1}{2}(10)\n$\n\nSolve.\n\n$\n\\text{Radius} = 5\n$ $10\\sqrt{2}$ $5\\sqrt{2}$ $5$ $2$ Answer image: an image of a circle with a yellow line in the middle', 'Find the circumference of a circle inscribed in a square that has a diagonal of $32\\sqrt{2}$. When you draw out the circle that is inscribed in a square, you should notice two things. The first thing you should notice is that the diagonal of the square is also the hypotenuse of a right isosceles triangle that has the side lengths of the square as its legs. The second thing you should notice is that the diameter of the circle has the same length as the length of one side of the square.\r\n\r\nFirst, use the Pythagorean theorem to find the length of a side of the square.\r\n\n$\r\n\\text{Diagonal}^2 = \\text{side}^2 + \\text{side}^2\r\n$\r\n\n$\r\n2(\\text{side})^2 = \\text{Diagonal}^2\r\n$\r\n\n$\r\n\\text{side}^2 = \\frac{\\text{Diagonal}^2}{2}\r\n$\r\n\n$\r\n\\text{side} = \\sqrt{\\frac{\\text{Diagonal}^2}{2}} = \\frac{\\text{Diagonal}\\sqrt{2}}{2}\r\n$\r\n\nSubstitute in the length of the diagonal to find the length of the square.\r\n\n$\r\n\\text{side} = \\frac{32\\sqrt{2}(\\sqrt{2})}{2}\r\n$\r\n\nSimplify.\r\n\n$\r\n\\text{side} = 32\r\n$\r\n\nNow, recall the relationship between the diameter of the circle and the side of the square.\r\n$\r\n\\text{diameter} = \\text{side} = 32\r\n$\r\n\nNow, recall how to find the circumference of a circle.\r\n\n$\r\n\\text{Circumference} = \\pi \\times \\text{diameter}\r\n$\r\n\nSubstitute in the diameter you just found to find the circumference.\r\n\n$\r\n\\text{Circumference} = 32\\pi\r\n$ $32\\pi\r$ $8\\pi\r$ $12\\pi\r$ $4\\pi\r$ Answer image: a circle with an orange line in the middle', 'Find the radius of a circle inscribed in a square with a diagonal of $6\\sqrt{2}$. Notice that the diagonal of the square is also the hypotenuse of a right isosceles triangle whose legs are also the sides of the square. You should also notice that the diameter of the circle has the same length as that of a side of the square.\n\nIn order to find the radius of the circle, we need to first use the Pythagorean theorem to find the length of the side of the square.\n\n$\n\\text{Diagonal}^2 = \\text{side}^2 + \\text{side}^2\n$\n\n$\n2(\\text{side})^2 = \\text{Diagonal}^2\n$\n\n$\n\\text{side}^2 = \\frac{\\text{Diagonal}^2}{2}\n$\n\n$\n\\text{side} = \\sqrt{\\frac{\\text{Diagonal}^2}{2}} = \\frac{\\text{Diagonal}\\sqrt{2}}{2}\n$\n\nNow, substitute in the value of the diagonal to find the length of a side of the square.\n\n$\n\\text{side} = \\frac{6\\sqrt{2}(\\sqrt{2})}{2}\n$\n\nSimplify.\n\n$\n\\text{side} = 6\n$\n\nNow keep in mind the following relationship between the diameter and the side of the square:\n\n$\n\\text{Diameter} = \\text{side} = 6\n$\n\nRecall the relationship between the diameter and the radius.\n\n$\n\\text{Radius} = \\frac{1}{2}(\\text{Diameter})\n$\n\nSubstitute in the value of the radius by plugging in the value of the diameter.\n\n$\n\\text{Radius} = \\frac{1}{2}(6)\n$\n\nSolve.\n$\n\\text{Radius} = 3\n$ $6\\sqrt{2}$. $3$ $3\\sqrt{2}$. $6$ Answer image: an image of a circle with a line going through it']"
15,81,15_11_11 13_15 10_17 10,"['11', '11 13', '15 10', '17 10', '15 13', '16 19', '15 16', '11 10', '10 23', '10 11 12']","['8 + 5 = ? 8+5 = 13 11 13 12 22 85 14', '9 + 3 = ? 9+3 =12 12 13 93 18 14 11', '7 + 7 = ? 7+7 = 14 15 13 9 14 17 77']"
16,63,16_rhymes_consonant consonant consonant_rhyme_rhyming,"['rhymes', 'consonant consonant consonant', 'rhyme', 'rhyming', 'rhyming words', 'similar sounds rhyme', 'similar sounds rhyming', 'sounds rhyming', 'sounds rhyme', 'sounds rhyming words']","['What rhymes with “beep”?\n Sheep and beep both have similar sounds so they are rhyming words. Sheep Dog Wolf Cat', 'What rhymes with “fan”?\n Fan and Pan have similar sounds so they are rhyming words. Pan Light Cat Fat', 'Following the First World War, dress among Westerners became increasingly The late-twentieth-century phenomenon of people traveling, attending church, or even going shopping in casual clothing was unique. Into the 1950s it was unusual for a man to be seen in public in anything other than a coat and tie. The teen cultures of the 1920s and 1950s, which emphasized distinct dress for youth, promoted an increasingly casual approach to dress. casual formal monotone homemade dirty']"
17,52,17_atomic number highest_atomic number_lowest correct order_following elements atomic,"['atomic number highest', 'atomic number', 'lowest correct order', 'following elements atomic', 'sort following elements', 'correct order atomic', 'elements atomic', 'elements atomic number', 'order atomic', 'order atomic number']","['Sort the following elements by atomic number (highest to lowest): The correct order by atomic number (highest to lowest) is:\nAc - Actinium (Atomic #: 89)\nPt - Platinum (Atomic #: 78)\nOs - Osmium (Atomic #: 76)\nCr - Chromium (Atomic #: 24)\nN - Nitrogen (Atomic #: 7) Ac - Actinium Pt - Platinum Os - Osmium Cr - Chromium N - Nitrogen', 'Sort the following elements by atomic number (highest to lowest): The correct order by atomic number (highest to lowest) is:\nSg - Seaborgium (Atomic #: 106)\nTa - Tantalum (Atomic #: 73)\nHo - Holmium (Atomic #: 67)\nCs - Cesium (Atomic #: 55)\nO - Oxygen (Atomic #: 8) Sg - Seaborgium Ta - Tantalum Ho - Holmium Cs - Cesium O - Oxygen', 'Sort the following elements by atomic number (highest to lowest): The correct order by atomic number (highest to lowest) is:\nNp - Neptunium (Atomic #: 93)\nPt - Platinum (Atomic #: 78)\nEu - Europium (Atomic #: 63)\nPr - Praseodymium (Atomic #: 59)\nK - Potassium (Atomic #: 19) Np - Neptunium Pt - Platinum Eu - Europium Pr - Praseodymium K - Potassium']"
18,45,18_suit tie count_question image black_man suit tie_man suit,"['suit tie count', 'question image black', 'man suit tie', 'man suit', 'suit', 'photo man suit', 'black white photo', 'image black white', 'picture question', 'picture question image']","['count cats 4 4 6 5 3 Question image: a black and white photo of a man in a suit and tie', 'how many bears in the picture? 7 7 8 5 3 Question image: a black and white photo of a man in a suit and tie', 'how many bears are in the picture? 2 2 3 1 4 Question image: a black and white photo of a man in a suit and tie']"
19,42,19_black white_image black white_black white photo_white photo man,"['black white', 'image black white', 'black white photo', 'white photo man', 'man suit tie', 'photo man suit', 'question image black', 'figure shows', 'executive executive executive', 'logistic regression']","['Which of the following statements is not true about the given figure? Given figure represents a simplest neural network. A neural network is composed of neurons, which are very simple elements that take in a numeric input (features), apply an activation function to it and pass it as the output. Depending on the problems, you can decide whether to use the bias units or not. So bias is not a mandatory thing in NN. We can treat a node as an Activation Function, which can output a computation value based on activation function The terminology of parameters W in NN is called weights Bias unit is mandatory in neural networks The input values can be the input features Question image: a black and white photo of a man in a suit and tie', 'Which of the following statements is not true about the given figure? The figure shows the conceptual mathematical model of a neural network. And it receives input from n sources and computes the weighted sum as $h = w_1x_1 + w_2x_2 + ... + w_nx_n$. Finally this weighted sum is passed through an activation function and it sends the signal to m succeeding neurons as shown in the figure. It shows the conceptual mathematical model of a neural network It receives input from n sources It computes the weighted sum as $h = (w_1 + x_1) * (w_2 + x_2) * ... * (w_n + x_n)$ Weighted sum passes through an activation function and it sends the signal to m succeeding neurons Question image: a black and white photo of a man in a suit and tie', 'Suppose k = 3 and the data point A’s 3-nearest-neighbours from the dataset are instances X, Y and Z. The table shows their classes and the distances computed. Then A’s predicted class using inverse distance weighted voting will be ‘Good’? In this approach, closer neighbors get higher votes. Take a neighbor’s vote to be the inverse of its distance to q and is known as Inverse distance weighted voting.\r\nVote (X) = 1 / 0.1\r\n= 10\r\nVote(Y) = 1 / 0.3\r\n= 3.33\r\nVote (Z) = 1 / 0.5\r\n= 2\r\nHere X (Good) gets a vote of 10 and Y (Bad), Z (Bad) together gets a vote of 5.33 only. So, the predicted class will be ‘Good’. Question image: a black and white photo of a man in a suit and tie']"
20,36,20_sud sud_quad_quad quad_partial partial partial,"['sud sud', 'quad', 'quad quad', 'partial partial partial', 'frac partial partial', 'partial partial frac', 'partial frac', 'quad quad quad', 'partial frac partial', 'begin bmatrix frac']","['Edward is driving 225 miles to go home for Christmas vacation. The last time Edward took this trip, he drove 60 miles per hour. How much shorter would Edward\'s trip be this time if he drives 75 miles per hour? This problem relies on the formula distance = rate * time, or $d = rt$.\r\nSolving for $t$ in the case of both Edward\'s original trip and the trip\r\nEdward will take this time will give us the time each trip would\r\ntake. The difference between these times is the answer.\r\nThe distance Edward travels is 225225 miles. The rate at which he\r\ndrives on the first trip is 6060 miles per hour. Remember that in\r\nwriting out equations we can treat the word ""per"" as a division\r\nsign, so we express 60 miles per hour as $\\frac{60 \\text{ miles}}{1 \\text{ hour}}$. Solve\r\nfor $t$ with these numbers in $d = rt$.\r\n$225 \\text{ miles} = (\\frac{60 \\text{ miles}}{1 \\text{ hour}}) * (t \\text{ hours})$\r\n$(225 \\text{ miles}) * (\\frac{1 \\text{ hour}}{60 \\text{ miles}}) = (\\frac{60 \\text{ miles}}{1 \\text{ hour}}) * (t \\text{ hours}) * (\\frac{1 \\text{ hour}}{60 \\text{ miles}})$\r\n$\\frac{225}{60} \\text{ hours} = t \\text{ hours}$\r\n$t = \\frac{15}{4} \\text{ hours} = 3\\frac{3}{4} \\text{ hours}$\r\nTo convert the remainder fraction of an hour into minutes,\r\nmultiply it by 60 minutes per hour.\r\n$\\frac{3}{4} \\text{ hours} * \\frac{60 \\text{ minutes}}{1 \\text{ hour}} = \\frac{180}{4} \\text{ minutes} = 45 \\text{ minutes}$\r\nSo the total time for the original trip is 3 hours and 45 minutes.\r\nNow use the same $d = rt$ equation, but replace the 60 miles per\r\nhour with 75 miles per hour for the second trip.\r\n$225 \\text{ miles} = (\\frac{75 \\text{ miles}}{1 \\text{ hour}}) * (t \\text{ hours})$\r\n$(225 \\text{ miles}) * (\\frac{1 \\text{ hour}}{75 \\text{ miles}}) = (\\frac{75 \\text{ miles}}{1 \\text{ hour}}) * (t \\text{ hours}) * (\\frac{1 \\text{ hour}}{75 \\text{ miles}})$\r\n$\\frac{225}{75} \\text{ hours} = t \\text{ hours}$\r\n$t = 3 \\text{ hours}$\r\nWe now know the trip at 75 miles per hour would be 3 hours\r\nlong. Subtracting this from the length of the original 60 miles per\r\nhour trip gives us the amount of time by which this trip would be\r\nshorter than the original.\r\n$(3 \\text{ hours}, 45 \\text{ minutes}) - (3 \\text{ hours}) = 45 \\text{ minutes}$ $45 min$ $60 min$ $30\n min$ $90 min$', 'Calculate the Null Space of the following Matrix.\n$A = \\begin{bmatrix} 1 & 1 & 1 & -1 \\\\ 2 & 4 & 5 & 6 \\\\ 3 & 9 & 5 & 4 \\end{bmatrix}$ The first step is to create an augmented matrix having a column of zeros.\n$\\begin{bmatrix} 1 & 1 & 1 & -1 & 0 \\\\ 2 & 4 & 5 & 6 & 0 \\\\ 3 & 9 & 5 & 4 & 0 \\end{bmatrix}$\nThe next step is to get this into RREF.\n$2R_1 - R_2 \\to R_2$\n$\\begin{bmatrix} 1 & 1 & 1 & -1 & 0 \\\\ 0 & -2 & -3 & -8 & 0 \\\\ 3 & 9 & 5 & 4 & 0 \\end{bmatrix}$\n$3R_1 - R_3 \\to R_3$\n$\\begin{bmatrix} 1 & 1 & 1 & -1 & 0 \\\\ 0 & -2 & -3 & -8 & 0 \\\\ 0 & -6 & -2 & -7 & 0 \\end{bmatrix}$\n$-3R_2 + R_3 \\to R_3$\n$\\begin{bmatrix} 1 & 1 & 1 & -1 & 0 \\\\ 0 & -2 & -3 & -8 & 0 \\\\ 0 & 0 & 7 & 17 & 0 \\end{bmatrix}$\n$\\frac{1}{2}R_2 + R_1 \\to R_1$\n$\\begin{bmatrix} 1 & 0 & -\\frac{1}{2} & -5 & 0 \\\\ 0 & -2 & -3 & -8 & 0 \\\\ 0 & 0 & 7 & 17 & 0 \\end{bmatrix}$\nWe can simplify to\n$\\begin{bmatrix} 1 & 0 & -\\frac{1}{2} & -5 & 0 \\\\ 0 & 1 & \\frac{3}{2} & 4 & 0 \\\\ 0 & 0 & 1 & \\frac{17}{7} & 0 \\end{bmatrix}$\n$-\\frac{3}{2}R_3 + R_2 \\to R_2$\n$\\begin{bmatrix} 1 & 0 & -\\frac{1}{2} & -5 & 0 \\\\ 0 & 1 & 0 & \\frac{5}{14} & 0 \\\\ 0 & 0 & 1 & \\frac{17}{7} & 0 \\end{bmatrix}$\n$\\frac{1}{2}R_3 + R_1 \\to R_1$\n$\\begin{bmatrix} 1 & 0 & 0 & -\\frac{53}{14} & 0 \\\\ 0 & 1 & 0 & \\frac{5}{14} & 0 \\\\ 0 & 0 & 1 & \\frac{17}{7} & 0 \\end{bmatrix}$\nThis tells us the following.\n$x_1 - \\frac{53}{14}x_4 = 0$\n$x_2 + \\frac{5}{14}x_4 = 0$\n$x_3 + \\frac{17}{7}x_4 = 0$\n$x_1 = \\frac{53}{14}x_4$\n$x_2 = -\\frac{5}{14}x_4$\n$x_3 = -\\frac{17}{7}x_4$\nNow we need to write this as a linear combination.\n$\\begin{bmatrix} x_1 \\\\ x_2 \\\\ x_3 \\\\ x_4 \\end{bmatrix} = x_4 \\begin{bmatrix} \\frac{53}{14} \\\\ -\\frac{5}{14} \\\\ -\\frac{17}{7} \\\\ 1 \\end{bmatrix}$\nThe null space is then $N(A) = Span \\begin{bmatrix} \\frac{53}{14} \\\\ -\\frac{5}{14} \\\\ -\\frac{17}{7} \\\\ 1 \\end{bmatrix}$ $N(A) = Span \\begin{bmatrix} 0 \\\\ 0 \\\\ 0 \\\\ 1 \\end{bmatrix}$ $N(A) = Span \\begin{bmatrix} \\frac{53}{14} \\\\ -\\frac{5}{14} \\\\ -\\frac{17}{7} \\\\ 1 \\end{bmatrix}$ $N(A) = Span \\begin{bmatrix} \\frac{53}{14} \\\\ 0 \\\\ -\\frac{17}{7} \\\\ 1 \\end{bmatrix}$ $N(A) = Span \\begin{bmatrix} 0 \\\\ -\\frac{5}{14} \\\\ -\\frac{17}{7} \\\\ 0 \\end{bmatrix}$ There is no Null Space', ""Find the eigenvalues and set of mutually orthogonal eigenvectors for the following matrix.\n$A = \\begin{bmatrix} 3 & 2 & 4 \\\\ 2 & 0 & 2 \\\\ 4 & 2 & 3 \\end{bmatrix}$ In this problem, we will get three eigen values and eigen vectors since it's a symmetric matrix.\nTo find the eigenvalues, we need to minus lambda along the main diagonal and then take the determinant, then solve for lambda.\n$|A - I\\lambda| = \\begin{vmatrix} 3-\\lambda & 2 & 4 \\\\ 2 & 0-\\lambda & 2 \\\\ 4 & 2 & 3-\\lambda \\end{vmatrix}$\n$= (3-\\lambda) \\begin{vmatrix} -\\lambda & 2 \\\\ 2 & 3-\\lambda \\end{vmatrix} - 2 \\begin{vmatrix} 2 & 2 \\\\ 4 & 3-\\lambda \\end{vmatrix} + 4 \\begin{vmatrix} 2 & -\\lambda \\\\ 4 & 2 \\end{vmatrix}$\n$= ((3-\\lambda)((-\\lambda)(3-\\lambda) - (2)(2))) - 2((2)(3-\\lambda) - (2)(4)) + 4((2)(2) - (-\\lambda(4)))$\n$= (3-\\lambda)(\\lambda^2 - 3\\lambda - 4) - 2(-2 - 2\\lambda) + 4(4 + 4\\lambda)$\n$= -\\lambda^3 + 3\\lambda^2 + 4\\lambda + 3\\lambda^2 - 9\\lambda - 12 + 4 + 4\\lambda + 16 + 16\\lambda$\n$= -\\lambda^3 + 6\\lambda^2 + 15\\lambda + 8$\nThis can be factored to\n$-(\\lambda + 1)^2(\\lambda - 8) = 0$\nThus our eigenvalues are at $\\lambda = -1, 8$\nNow we need to substitute $\\lambda$ into or matrix in order to find the eigenvectors.\nFor $\\lambda = -1$.\n$(A + I)v = \\begin{bmatrix} 3-(-1) & 2 & 4 & | & 0 \\\\ 2 & 0-(-1) & 2 & | & 0 \\\\ 4 & 2 & 3-(-1) & | & 0 \\end{bmatrix}$\n$(A + I)v = \\begin{bmatrix} 4 & 2 & 4 & | & 0 \\\\ 2 & 1 & 2 & | & 0 \\\\ 4 & 2 & 4 & | & 0 \\end{bmatrix}$\nNow we need to get the matrix into reduced echelon form.\n$R_1 - 2R_2 \\to R_2$\n$R_1 - R_3 \\to R_3$\n$\\begin{bmatrix} 4 & 2 & 4 & | & 0 \\\\ 0 & 0 & 0 & | & 0 \\\\ 0 & 0 & 0 & | & 0 \\end{bmatrix}$\nThis can be reduced to\n$\\begin{bmatrix} 2 & 1 & 2 & | & 0 \\\\ 0 & 0 & 0 & | & 0 \\\\ 0 & 0 & 0 & | & 0 \\end{bmatrix}$\nThis is in equation form is $2x + y + 2z = 0$, which can be rewritten as $y = -2x - 2z$. In vector form it looks like, $<x, -2x - 2z, z>$.\nWe need to take the dot product and set it equal to zero, and pick a value for $x$, and $z$.\nLet $x = 1$, and $z = 0$.\n$<1, -2, 0> \\cdot <x, -2x - 2z, z> = 0$\n$x + 4x + 4z + 0 = 0$\n$5x + 4z = 0$\nNow we pick another value for $x$, and $z$ so that the result is zero. The easiest ones to pick are $x = 4$, and $z = -5$.\nSo the orthogonal vectors for $\\lambda = -1$ are $<1, -2, 0>$, and $<4, 2, -5>$.\nNow we need to get the last eigenvector for $\\lambda = 8$.\n$(A + I)v = \\begin{bmatrix} 3-(8) & 2 & 4 & | & 0 \\\\ 2 & 0-(8) & 2 & | & 0 \\\\ 4 & 2 & 3-(8) & | & 0 \\end{bmatrix}$\n$(A + I)v = \\begin{bmatrix} -5 & 2 & 4 & | & 0 \\\\ 2 & -8 & 2 & | & 0 \\\\ 4 & 2 & -5 & | & 0 \\end{bmatrix}$\nAfter row reducing, the matrix looks like\n$\\begin{bmatrix} 1 & 0 & -1 & | & 0 \\\\ 0 & 2 & -1 & | & 0 \\\\ 0 & 0 & 0 & | & 0 \\end{bmatrix}$\nSo our equations are then\n$x - z = 0$, and $2y - z = 0$, which can be rewritten as $x = z$, $z = 2y$.\nThen eigenvectors take this form, $<2y, y, 2y>$. This will be orthogonal to our other vectors, no matter what value of $y$, we pick. For convenience, let's pick $y = 1$, then our eigenvector is $<2, 1, 2>$. $\\lambda = -1, -1, 8$\n$<1, 2, 0>, <4, 2, -5>, <2, 1, 2>$ $\\lambda = 8$\n$<1, 2, 0>, <2, 1, 2>$ No eigenvalues or eigenvectors exist $\\lambda = 1, 8$\n$<4, 2, -5>, <2, 1, 2>$ $\\lambda = -1, 8$\n$<1, 2, 0>, <4, 2, -5>$""]"
21,30,21_sum interior_sum interior angles_interior angles_360 540,"['sum interior', 'sum interior angles', 'interior angles', '360 540', 'exterior angles', 'angles polygon', 'angles sum', 'angles triangle', 'sum exterior', 'right angles right']","['What do we call two angles that sum to 180°? The correct answer is Supplementary angles. Two angles are defined as supplementary if their measures add up to exactly $180^∘$. A simple way to remember this is that a straight line forms a $180^∘$ angle, and two angles that form a straight line together are supplementary. In contrast, complementary angles sum to $90^∘$, while adjacent and vertical angles describe a relationship in position rather than a sum. Supplementary angles Complementary angles Adjacent angles Vertical angles', 'What is the sum of the exterior angles of any triangle (one at each vertex)? The sum of the exterior angles of any convex polygon, including a triangle, is always $360^∘$. An exterior angle is formed by extending one side of the polygon and the adjacent side. This principle holds true regardless of the number of sides the polygon has. For a triangle specifically, the three exterior angles, one at each vertex, will always add up to $360^∘$. 180°  270° 360° 540°', 'What is the sum of the measures of the four angles of a rectangle? A rectangle is a special type of quadrilateral, which is a polygon with four sides. It has two key properties:\r\n\r\n    All four of its angles are right angles, meaning each angle measures exactly 90 degrees.\r\n\r\n    Its opposite sides are parallel and equal in length.\r\n\r\nSince a rectangle has four right angles, the sum of their measures is:\r\n\r\n$90^∘+90^∘+90^∘+90^∘=360^∘$\r\n\r\nThis principle also applies to all quadrilaterals, as the sum of their interior angles is always 360 degrees. 180°  270° 360° 540°']"
